_id,id,sub_district_name,sub_district_code,census_2001_sub_district_code,census_2011_sub_district_code,district_code,district_name,state_name,state_code
1,0,Kupwara,0001,1,1,008,Kupwara,Jammu and Kashmir,01
2,1,Handwara,0002,2,2,008,Kupwara,Jammu and Kashmir,01
3,2,Karnah,0003,3,3,008,Kupwara,Jammu and Kashmir,01
4,3,Khag,0004,8,4,002,Budgam,Jammu and Kashmir,01
5,4,Beerwah,0005,1,5,002,Budgam,Jammu and Kashmir,01
6,5,Khansahib,0006,1,6,002,Budgam,Jammu and Kashmir,01
7,6,Budgam,0007,2,7,002,Budgam,Jammu and Kashmir,01
8,7,Chadoora,0008,3,8,002,Budgam,Jammu and Kashmir,01
9,8,Charar- E- Shrief,0009,3,9,002,Budgam,Jammu and Kashmir,01
10,9,Leh,0010,1,10,009,Leh Ladakh,Ladakh,37
11,10,Sumoor,0011,1,11,009,Leh Ladakh,Ladakh,37
12,11,Khaltsi,0012,1,12,009,Leh Ladakh,Ladakh,37
13,12,Kargil,0013,1,13,006,Kargil,Ladakh,37
14,13,Sankoo,0014,1,14,006,Kargil,Ladakh,37
15,14,Zanskar,0015,2,15,006,Kargil,Ladakh,37
16,15,Haveli,0016,1,16,010,Poonch,Jammu and Kashmir,01
17,16,Mandi,0017,1,17,010,Poonch,Jammu and Kashmir,01
18,17,Mendhar,0018,2,18,010,Poonch,Jammu and Kashmir,01
19,18,Surankote,0019,3,19,010,Poonch,Jammu and Kashmir,01
20,19,Thana Mandi,0020,1,20,012,Rajouri,Jammu and Kashmir,01
21,20,Darhal,0021,1,21,012,Rajouri,Jammu and Kashmir,01
22,21,Rajouri,0022,2,22,012,Rajouri,Jammu and Kashmir,01
23,22,Kalakote,0024,4,24,012,Rajouri,Jammu and Kashmir,01
24,23,Nowshera,0025,5,25,012,Rajouri,Jammu and Kashmir,01
25,24,Sundarbani,0026,6,26,012,Rajouri,Jammu and Kashmir,01
26,25,Billawar,0027,1,27,007,Kathua,Jammu and Kashmir,01
27,26,Basohli,0028,2,28,007,Kathua,Jammu and Kashmir,01
28,27,Bani,0029,2,29,007,Kathua,Jammu and Kashmir,01
29,28,Kathua,0030,3,30,007,Kathua,Jammu and Kashmir,01
30,29,Hiranagar,0031,4,31,007,Kathua,Jammu and Kashmir,01
31,30,Sopore,0032,4,32,003,Baramulla,Jammu and Kashmir,01
32,31,Rafiabad,0033,4,33,003,Baramulla,Jammu and Kashmir,01
33,32,Pattan,0034,5,34,003,Baramulla,Jammu and Kashmir,01
34,33,Baramulla,0035,6,35,003,Baramulla,Jammu and Kashmir,01
35,34,Kreeri,0036,6,36,003,Baramulla,Jammu and Kashmir,01
36,35,Uri,0037,7,37,003,Baramulla,Jammu and Kashmir,01
37,36,Boniyar,0038,7,38,003,Baramulla,Jammu and Kashmir,01
38,37,Tangmarg,0039,8,39,003,Baramulla,Jammu and Kashmir,01
39,38,Gurez,0040,1,40,623,Bandipora,Jammu and Kashmir,01
40,39,Bandipora,0041,2,41,623,Bandipora,Jammu and Kashmir,01
41,40,Sonawari,0042,3,42,623,Bandipora,Jammu and Kashmir,01
42,41,Srinagar (north),0043,3,43,013,Srinagar,Jammu and Kashmir,01
43,42,Srinagar (south),0044,5,44,013,Srinagar,Jammu and Kashmir,01
44,43,Lar,0045,3,45,626,Ganderbal,Jammu and Kashmir,01
45,44,Kangan,0046,1,46,626,Ganderbal,Jammu and Kashmir,01
46,45,Ganderbal,0047,2,47,626,Ganderbal,Jammu and Kashmir,01
47,46,Pampore,0048,1,48,011,Pulwama,Jammu and Kashmir,01
48,47,Awantipora,0049,1,49,011,Pulwama,Jammu and Kashmir,01
49,48,Tral,0050,2,50,011,Pulwama,Jammu and Kashmir,01
50,49,Pulwama,0051,3,51,011,Pulwama,Jammu and Kashmir,01
51,50,Shopian,0052,4,52,625,Shopian,Jammu and Kashmir,01
